timestamp,engine_rpm,coolant_temp,vehicle_speed,throttle_position,engine_load,fuel_level,intake_air_temp,maf_rate,fuel_pressure,battery_voltage,fault_codes,vehicle_info
2026-01-20T07:30:00,0,18,0,0,0,72,10,0,0,12.4,,2020 Honda Civic
2026-01-20T07:30:15,680,22,0,4,10,72,11,7,315,13.5,,2020 Honda Civic
2026-01-20T07:31:00,720,38,0,5,12,72,13,9,320,13.7,,2020 Honda Civic
2026-01-20T07:32:00,750,52,0,5,13,72,15,10,325,13.8,,2020 Honda Civic
2026-01-20T07:33:00,780,68,0,6,14,71,17,11,330,13.9,,2020 Honda Civic
2026-01-20T07:34:00,1100,78,20,15,24,71,19,40,338,13.8,,2020 Honda Civic
2026-01-20T07:35:00,1500,82,35,25,35,70,21,65,344,13.7,,2020 Honda Civic
2026-01-20T07:36:00,1900,85,50,38,48,69,23,95,348,13.6,,2020 Honda Civic
2026-01-20T07:37:00,2300,87,65,48,58,68,25,125,352,13.5,,2020 Honda Civic
2026-01-20T07:38:00,2600,89,78,55,65,67,27,150,355,13.4,,2020 Honda Civic
2026-01-20T07:39:00,2900,90,88,62,72,66,28,172,357,13.3,,2020 Honda Civic
2026-01-20T07:40:00,3100,91,95,68,78,65,29,188,358,13.2,,2020 Honda Civic
2026-01-20T07:41:00,2700,92,82,56,68,64,28,158,355,13.3,,2020 Honda Civic
2026-01-20T07:42:00,2400,93,72,48,60,63,27,138,352,13.4,,2020 Honda Civic
2026-01-20T07:43:00,2100,94,62,40,52,62,26,112,349,13.5,,2020 Honda Civic
2026-01-20T07:44:00,1800,95,52,32,44,61,25,88,346,13.6,,2020 Honda Civic
2026-01-20T07:45:00,1400,96,40,22,32,60,24,58,342,13.7,,2020 Honda Civic
2026-01-20T07:46:00,900,97,0,6,15,60,23,13,338,13.8,,2020 Honda Civic
2026-01-20T07:47:00,850,98,0,5,14,60,22,12,336,13.9,,2020 Honda Civic
2026-01-20T07:48:00,1200,99,25,18,28,59,23,42,340,13.8,,2020 Honda Civic
2026-01-20T07:49:00,1800,100,48,35,45,58,24,82,346,13.7,,2020 Honda Civic
2026-01-20T07:50:00,2400,102,68,52,62,57,26,142,352,13.5,P0128,2020 Honda Civic
2026-01-20T07:51:00,2800,104,82,60,70,56,27,168,356,13.4,P0128,2020 Honda Civic
2026-01-20T07:52:00,3200,107,92,68,78,55,28,195,358,13.2,"P0128,P0301",2020 Honda Civic
2026-01-20T07:53:00,3500,110,100,74,84,54,29,218,360,13.0,"P0128,P0301",2020 Honda Civic
2026-01-20T07:54:00,3300,113,96,70,80,53,30,205,359,12.9,"P0128,P0301,P0302",2020 Honda Civic
2026-01-20T07:55:00,2900,116,85,62,72,52,31,175,356,12.8,"P0128,P0301,P0302",2020 Honda Civic
2026-01-20T07:56:00,2500,118,72,52,62,51,32,148,352,12.7,"P0128,P0301,P0302,P0507",2020 Honda Civic
2026-01-20T07:57:00,2100,120,58,42,52,50,33,115,348,12.6,"P0128,P0301,P0302,P0507",2020 Honda Civic
2026-01-20T07:58:00,1600,122,40,28,38,49,34,75,344,12.5,"P0128,P0301,P0302,P0507",2020 Honda Civic
2026-01-20T07:59:00,1100,124,20,16,24,48,35,42,340,12.4,"P0128,P0301,P0302,P0507",2020 Honda Civic
2026-01-20T08:00:00,900,125,0,6,16,48,36,14,336,12.3,"P0128,P0301,P0302,P0507,P0217",2020 Honda Civic
2026-01-20T08:01:00,850,127,0,5,15,47,37,12,334,12.2,"P0128,P0301,P0302,P0507,P0217",2020 Honda Civic
2026-01-20T08:02:00,0,128,0,0,0,47,38,0,0,12.1,"P0128,P0301,P0302,P0507,P0217",2020 Honda Civic
